name,competition,country,logo_url
Real Madrid,LaLiga EA Sports,España,
FC Barcelona,LaLiga EA Sports,España,
Atlético de Madrid,LaLiga EA Sports,España,
Arsenal,Premier League,Inglaterra,
Chelsea,Premier League,Inglaterra,
Manchester United,Premier League,Inglaterra,
Inter de Milán,Serie A,Italia,
AC Milan,Serie A,Italia,
Juventus,Serie A,Italia,
Bayern Múnich,Bundesliga,Alemania,
Borussia Dortmund,Bundesliga,Alemania,
PSG,Ligue 1,Francia,
